probID,sID,probAns,answer,correct,answerAt,publishAt,questionType
5,19,C,C,TRUE,46:42.1,00:21.9,-1
5,88,C,C,TRUE,11:35.5,00:21.9,-1
5,85,C,C,TRUE,22:57.6,00:21.9,-1
5,97,C,C,TRUE,28:47.7,00:21.9,-1
5,46,C,C,TRUE,36:37.1,00:21.9,-1
5,107,C,C,TRUE,42:57.0,00:21.9,-1
5,108,C,C,TRUE,44:25.0,00:21.9,-1
5,34,C,C,TRUE,06:57.3,00:21.9,-1
5,109,C,C,TRUE,24:00.4,00:21.9,-1
5,110,C,C,TRUE,43:21.1,00:21.9,-1
5,72,C,C,TRUE,50:48.6,00:21.9,-1
5,53,C,C,TRUE,57:12.4,00:21.9,-1
5,73,C,C,TRUE,03:23.3,00:21.9,-1
5,58,C,C,TRUE,29:29.8,00:21.9,-1
5,51,C,C,TRUE,49:12.4,00:21.9,-1
5,99,C,C,TRUE,54:12.4,00:21.9,-1
5,94,C,C,TRUE,05:20.0,00:21.9,-1
5,61,C,C,TRUE,09:52.7,00:21.9,-1
5,65,C,C,TRUE,10:14.0,00:21.9,-1
5,45,C,C,TRUE,13:29.1,00:21.9,-1
5,101,C,C,TRUE,36:21.8,00:21.9,-1
5,89,C,C,TRUE,43:19.4,00:21.9,-1
5,3,C,C,TRUE,14:52.9,00:21.9,-1
5,29,C,C,TRUE,26:50.6,00:21.9,-1
5,2,C,C,TRUE,27:35.5,00:21.9,-1
5,55,C,C,TRUE,36:54.0,00:21.9,-1
5,42,C,C,TRUE,17:41.2,00:21.9,-1
5,111,C,C,TRUE,17:59.6,00:21.9,-1
5,68,C,C,TRUE,19:20.7,00:21.9,-1
5,71,C,C,TRUE,20:17.6,00:21.9,-1
5,36,C,C,TRUE,30:23.1,00:21.9,-1
5,18,C,C,TRUE,42:42.6,00:21.9,-1
5,37,C,C,TRUE,49:09.2,00:21.9,-1
5,79,C,C,TRUE,50:26.7,00:21.9,-1
5,112,C,C,TRUE,04:58.3,00:21.9,-1
5,84,C,B,FALSE,20:08.6,00:21.9,-1
5,84,C,C,TRUE,22:04.9,00:21.9,-1
5,16,C,C,TRUE,33:21.8,00:21.9,-1
5,86,C,D,FALSE,42:40.9,00:21.9,-1
5,86,C,C,TRUE,42:49.5,00:21.9,-1
5,64,C,C,TRUE,08:43.7,00:21.9,-1
5,54,C,C,TRUE,13:53.9,00:21.9,-1
5,60,C,C,TRUE,32:25.6,00:21.9,-1
5,75,C,C,TRUE,34:34.0,00:21.9,-1
5,113,C,C,TRUE,02:56.3,00:21.9,-1
5,10,C,C,TRUE,37:59.5,00:21.9,-1
5,11,C,C,TRUE,05:54.0,00:21.9,-1
5,114,C,C,TRUE,07:56.2,00:21.9,-1
5,59,C,C,TRUE,15:18.3,00:21.9,-1
5,28,C,C,TRUE,19:55.6,00:21.9,-1
5,63,C,C,TRUE,42:43.2,00:21.9,-1
5,52,C,C,TRUE,50:24.7,00:21.9,-1
5,38,C,C,TRUE,51:48.6,00:21.9,-1
5,44,C,C,TRUE,58:12.7,00:21.9,-1
5,41,C,C,TRUE,27:18.3,00:21.9,-1
5,67,C,C,TRUE,01:05.5,00:21.9,-1
5,43,C,C,TRUE,27:54.0,00:21.9,-1
5,69,C,C,TRUE,36:10.7,00:21.9,-1
5,78,C,C,TRUE,37:19.4,00:21.9,-1
5,104,C,C,TRUE,54:17.3,00:21.9,-1
5,30,C,C,TRUE,56:42.7,00:21.9,-1
5,48,C,C,TRUE,57:15.9,00:21.9,-1
5,32,C,C,TRUE,02:19.2,00:21.9,-1
5,91,C,B,FALSE,58:50.7,00:21.9,-1
5,91,C,C,TRUE,00:42.7,00:21.9,-1
5,80,C,C,TRUE,19:59.3,00:21.9,-1
5,15,C,C,TRUE,44:23.3,00:21.9,-1
5,7,C,C,TRUE,46:57.2,00:21.9,-1
5,62,C,C,TRUE,11:44.5,00:21.9,-1
5,49,C,C,TRUE,53:40.3,00:21.9,-1
5,12,C,C,TRUE,58:27.3,00:21.9,-1
5,35,C,D,FALSE,04:29.8,00:21.9,-1
5,35,C,B,FALSE,04:45.0,00:21.9,-1
5,35,C,C,TRUE,04:55.7,00:21.9,-1
5,4,C,C,TRUE,06:30.8,00:21.9,-1
5,9,C,C,TRUE,07:38.6,00:21.9,-1
5,83,C,C,TRUE,08:56.9,00:21.9,-1
5,26,C,C,TRUE,09:08.3,00:21.9,-1
5,115,C,C,TRUE,09:39.1,00:21.9,-1
5,103,C,C,TRUE,13:50.0,00:21.9,-1
5,47,C,C,TRUE,21:02.1,00:21.9,-1
5,74,C,D,FALSE,25:07.5,00:21.9,-1
5,74,C,C,TRUE,25:22.3,00:21.9,-1
5,57,C,C,TRUE,37:24.6,00:21.9,-1
5,116,C,B,FALSE,40:11.7,00:21.9,-1
5,8,C,C,TRUE,40:12.8,00:21.9,-1
5,116,C,C,TRUE,40:21.5,00:21.9,-1
5,24,C,C,TRUE,40:37.7,00:21.9,-1
5,39,C,C,TRUE,40:39.2,00:21.9,-1
5,93,C,C,TRUE,40:39.5,00:21.9,-1
5,33,C,C,TRUE,40:44.5,00:21.9,-1
5,98,C,C,TRUE,42:32.3,00:21.9,-1
5,27,C,C,TRUE,42:41.0,00:21.9,-1
5,14,C,C,TRUE,43:12.0,00:21.9,-1
