probID,sID,probAns,answer,correct,answerAt,publishAt,questionType
1,1,C,B,FALSE,09:37.4,11:59.9,5
1,2,C,C,TRUE,09:38.6,11:59.9,5
1,3,C,C,TRUE,09:38.8,11:59.9,5
1,4,C,C,TRUE,09:39.2,11:59.9,5
1,5,C,C,TRUE,09:39.3,11:59.9,5
1,6,C,C,TRUE,09:39.5,11:59.9,5
1,7,C,C,TRUE,09:39.8,11:59.9,5
1,8,C,C,TRUE,09:40.0,11:59.9,5
1,9,C,C,TRUE,09:40.0,11:59.9,5
1,10,C,C,TRUE,09:40.1,11:59.9,5
1,11,C,B,FALSE,09:40.9,11:59.9,5
1,12,C,C,TRUE,09:42.5,11:59.9,5
1,13,C,C,TRUE,09:42.8,11:59.9,5
1,14,C,C,TRUE,09:43.2,11:59.9,5
1,15,C,C,TRUE,09:44.0,11:59.9,5
1,16,C,C,TRUE,09:44.1,11:59.9,5
1,17,C,C,TRUE,09:44.2,11:59.9,5
1,18,C,C,TRUE,09:44.3,11:59.9,5
1,19,C,C,TRUE,09:44.5,11:59.9,5
1,20,C,C,TRUE,09:44.7,11:59.9,5
1,21,C,C,TRUE,09:44.7,11:59.9,5
1,22,C,B,FALSE,09:45.0,11:59.9,5
1,23,C,C,TRUE,09:45.6,11:59.9,5
1,24,C,C,TRUE,09:46.1,11:59.9,5
1,25,C,C,TRUE,09:46.7,11:59.9,5
1,26,C,C,TRUE,09:48.3,11:59.9,5
1,27,C,C,TRUE,09:49.0,11:59.9,5
1,28,C,C,TRUE,09:49.6,11:59.9,5
1,29,C,C,TRUE,09:49.8,11:59.9,5
1,30,C,C,TRUE,09:51.4,11:59.9,5
1,31,C,C,TRUE,09:51.6,11:59.9,5
1,1,C,C,TRUE,09:52.6,11:59.9,5
1,32,C,B,FALSE,09:52.8,11:59.9,5
1,33,C,C,TRUE,09:52.8,11:59.9,5
1,34,C,A,FALSE,09:52.9,11:59.9,5
1,35,C,C,TRUE,09:55.5,11:59.9,5
1,36,C,C,TRUE,09:58.0,11:59.9,5
1,11,C,C,TRUE,09:58.6,11:59.9,5
1,37,C,C,TRUE,10:00.7,11:59.9,5
1,38,C,C,TRUE,10:03.5,11:59.9,5
1,32,C,C,TRUE,10:03.8,11:59.9,5
1,39,C,C,TRUE,10:04.7,11:59.9,5
1,40,C,C,TRUE,10:07.6,11:59.9,5
1,41,C,C,TRUE,10:08.6,11:59.9,5
1,34,C,C,TRUE,10:12.2,11:59.9,5
1,42,C,C,TRUE,10:13.0,11:59.9,5
1,22,C,C,TRUE,10:14.6,11:59.9,5
